imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
4,AKAZE,1545,FREAK,616,16.6894,14.7569
5,AKAZE,1526,FREAK,594,15.9082,15.1838
6,AKAZE,1566,FREAK,632,12.6787,16.5344
7,AKAZE,1529,FREAK,635,11.9844,16.3796
8,AKAZE,1547,FREAK,621,13.1241,13.3349
9,AKAZE,1572,FREAK,611,13.0241,13.918
10,AKAZE,1567,FREAK,615,11.1746,12.3104
11,AKAZE,1538,FREAK,631,12.8086,12.5356
12,AKAZE,1513,FREAK,640,8.95978,11.654
13,AKAZE,1538,FREAK,628,9.96439,10.9959
14,AKAZE,1555,FREAK,642,9.59863,9.78501
15,AKAZE,1544,FREAK,680,8.57352,9.53519
16,AKAZE,1563,FREAK,668,9.51617,9.73972
17,AKAZE,1561,FREAK,693,9.54658,9.8896
18,AKAZE,1569,FREAK,657,8.3988,9.07797
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,SIFT,1891,FREAK,,,
1,SIFT,1915,FREAK,438,12.5156,11.767
2,SIFT,1825,FREAK,447,12.6142,13.3877
3,SIFT,1837,FREAK,459,14.091,14.8591
4,SIFT,1828,FREAK,459,16.6894,18.8658
5,SIFT,1877,FREAK,462,15.9082,19.215
6,SIFT,1931,FREAK,454,12.6787,11.8644
7,SIFT,1963,FREAK,459,11.9844,18.6815
8,SIFT,1954,FREAK,471,13.1241,17.3652
9,SIFT,1983,FREAK,469,13.0241,14.6938
10,SIFT,2041,FREAK,454,11.1746,11.8299
11,SIFT,2063,FREAK,461,12.8086,14.1576
12,SIFT,2007,FREAK,484,8.95978,10.4473
13,SIFT,2032,FREAK,505,9.96439,9.98871
14,SIFT,2048,FREAK,484,9.59863,11.1058
15,SIFT,2044,FREAK,491,8.57352,11.2811
16,SIFT,2086,FREAK,504,9.51617,8.65336
17,SIFT,2095,FREAK,566,9.54658,9.34475
18,SIFT,2159,FREAK,529,8.3988,9.52537
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,AKAZE,1513,AKAZE,,,
1,AKAZE,1541,AKAZE,967,12.5156,12.1088
2,AKAZE,1529,AKAZE,926,12.6142,14.0613
3,AKAZE,1561,AKAZE,959,14.091,12.9039
4,AKAZE,1545,AKAZE,980,16.6894,14.3278
5,AKAZE,1526,AKAZE,963,15.9082,15.6125
6,AKAZE,1566,AKAZE,968,12.6787,13.7785
7,AKAZE,1529,AKAZE,971,11.9844,15.8075
8,AKAZE,1547,AKAZE,982,13.1241,13.9592
9,AKAZE,1572,AKAZE,943,13.0241,14.1299
10,AKAZE,1567,AKAZE,977,11.1746,11.8179
11,AKAZE,1538,AKAZE,946,12.8086,12.4606
12,AKAZE,1513,AKAZE,942,8.95978,11.1753
13,AKAZE,1538,AKAZE,923,9.96439,11.1268
14,AKAZE,1555,AKAZE,967,9.59863,10.5609
15,AKAZE,1544,AKAZE,979,8.57352,9.98318
16,AKAZE,1563,AKAZE,984,9.51617,9.76029
17,AKAZE,1561,AKAZE,1005,9.54658,9.24649
18,AKAZE,1569,AKAZE,1022,8.3988,9.20619
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,SIFT,1891,SIFT,,,
1,SIFT,1915,SIFT,1048,12.5156,11.9768
2,SIFT,1825,SIFT,998,12.6142,13.3859
3,SIFT,1837,SIFT,980,14.091,13.2684
4,SIFT,1828,SIFT,976,16.6894,20.5742
5,SIFT,1877,SIFT,1001,15.9082,15.1017
6,SIFT,1931,SIFT,972,12.6787,11.4822
7,SIFT,1963,SIFT,1020,11.9844,14.0978
8,SIFT,1954,SIFT,1036,13.1241,15.6196
9,SIFT,1983,SIFT,1037,13.0241,15.7215
10,SIFT,2041,SIFT,1011,11.1746,10.6292
11,SIFT,2063,SIFT,1092,12.8086,11.0236
12,SIFT,2007,SIFT,1076,8.95978,11.5228
13,SIFT,2032,SIFT,1122,9.96439,9.64128
14,SIFT,2048,SIFT,1139,9.59863,10.3842
15,SIFT,2044,SIFT,1124,8.57352,10.5146
16,SIFT,2086,SIFT,1175,9.51617,9.82323
17,SIFT,2095,SIFT,1185,9.54658,8.97716
18,SIFT,2159,SIFT,1166,8.3988,8.8234
