imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
11,AKAZE,1538,BRIEF,836,12.8086,13.4924
12,AKAZE,1513,BRIEF,867,8.95978,10.895
13,AKAZE,1538,BRIEF,897,9.96439,10.2578
14,AKAZE,1555,BRIEF,903,9.59863,10.5799
15,AKAZE,1544,BRIEF,911,8.57352,9.43678
16,AKAZE,1563,BRIEF,904,9.51617,9.8397
17,AKAZE,1561,BRIEF,900,9.54658,9.36522
18,AKAZE,1569,BRIEF,975,8.3988,8.96428
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,SIFT,1891,BRIEF,,,
1,SIFT,1915,BRIEF,690,12.5156,12.7839
2,SIFT,1825,BRIEF,662,12.6142,15.0495
3,SIFT,1837,BRIEF,687,14.091,15.34
4,SIFT,1828,BRIEF,667,16.6894,22.9582
5,SIFT,1877,BRIEF,639,15.9082,20.7886
6,SIFT,1931,BRIEF,658,12.6787,13.1919
7,SIFT,1963,BRIEF,691,11.9844,17.5966
8,SIFT,1954,BRIEF,663,13.1241,16.7714
9,SIFT,1983,BRIEF,673,13.0241,12.9499
10,SIFT,2041,BRIEF,672,11.1746,11.3852
11,SIFT,2063,BRIEF,687,12.8086,12.2638
12,SIFT,2007,BRIEF,687,8.95978,11.6196
13,SIFT,2032,BRIEF,679,9.96439,9.70137
14,SIFT,2048,BRIEF,758,9.59863,10.3155
15,SIFT,2044,BRIEF,748,8.57352,9.48608
16,SIFT,2086,BRIEF,742,9.51617,8.66392
17,SIFT,2095,BRIEF,738,9.54658,8.67936
18,SIFT,2159,BRIEF,753,8.3988,9.37958
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,BRISK,2896,BRISK,,,
1,BRISK,3000,BRISK,1177,12.5156,11.9038
2,BRISK,2974,BRISK,1203,12.6142,25.1468
3,BRISK,2953,BRISK,1183,14.091,14.7655
4,BRISK,2855,BRISK,1116,16.6894,15.5277
5,BRISK,2906,BRISK,1150,15.9082,24.1141
6,BRISK,2886,BRISK,1113,12.6787,14.8353
7,BRISK,2886,BRISK,1094,11.9844,14.5381
8,BRISK,2893,BRISK,1125,13.1241,17.2896
9,BRISK,2930,BRISK,1092,13.0241,15.0829
10,BRISK,3022,BRISK,1058,11.1746,11.6267
11,BRISK,3013,BRISK,1163,12.8086,11.8587
12,BRISK,2949,BRISK,1167,8.95978,10.5222
13,BRISK,3012,BRISK,1160,9.96439,12.7711
14,BRISK,3026,BRISK,1179,9.59863,12.0955
15,BRISK,3074,BRISK,1257,8.57352,13.2661
16,BRISK,3131,BRISK,1242,9.51617,11.6177
17,BRISK,3135,BRISK,1274,9.54658,9.80066
18,BRISK,3146,BRISK,1318,8.3988,12.4882
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,SHITOMASI,1723,BRISK,,,
1,SHITOMASI,1759,BRISK,562,12.5156,12.7975
2,SHITOMASI,1820,BRISK,575,12.6142,12.9602
3,SHITOMASI,1850,BRISK,634,14.091,14.9277
4,SHITOMASI,1828,BRISK,608,16.6894,13.0129
5,SHITOMASI,1806,BRISK,629,15.9082,12.3
6,SHITOMASI,1877,BRISK,609,12.6787,14.0207
7,SHITOMASI,1894,BRISK,585,11.9844,13.8277
8,SHITOMASI,1889,BRISK,619,13.1241,13.2405
9,SHITOMASI,1917,BRISK,604,13.0241,11.4727
10,SHITOMASI,1874,BRISK,611,11.1746,11.5712
11,SHITOMASI,1912,BRISK,630,12.8086,10.9558
12,SHITOMASI,1930,BRISK,635,8.95978,12.5157
13,SHITOMASI,1880,BRISK,650,9.96439,13.3352
14,SHITOMASI,1886,BRISK,667,9.59863,12.2294
15,SHITOMASI,1957,BRISK,666,8.57352,9.94433
16,SHITOMASI,1888,BRISK,656,9.51617,11.6855
17,SHITOMASI,1919,BRISK,707,9.54658,11.6118
18,SHITOMASI,2055,BRISK,725,8.3988,9.20014
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,HARRIS,115,BRISK,,,
1,HARRIS,209,BRISK,61,12.5156,10.9082
2,HARRIS,114,BRISK,72,12.6142,10.195
3,HARRIS,178,BRISK,65,14.091,-80.8525
4,HARRIS,250,BRISK,86,16.6894,11.3951
5,HARRIS,241,BRISK,118,15.9082,-inf
6,HARRIS,259,BRISK,95,12.6787,13.6217
7,HARRIS,272,BRISK,115,11.9844,12.2
8,HARRIS,193,BRISK,97,13.1241,12.9162
9,HARRIS,129,BRISK,75,13.0241,nan
10,HARRIS,248,BRISK,61,11.1746,-inf
11,HARRIS,147,BRISK,77,12.8086,11.2142
12,HARRIS,168,BRISK,63,8.95978,11.6948
13,HARRIS,181,BRISK,84,9.96439,13.456
14,HARRIS,144,BRISK,76,9.59863,5.55228
15,HARRIS,243,BRISK,72,8.57352,-14.7808
16,HARRIS,213,BRISK,105,9.51617,6.33028
17,HARRIS,126,BRISK,77,9.54658,12.7384
18,HARRIS,158,BRISK,64,8.3988,-inf
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,FAST,5275,BRISK,,,
1,FAST,5291,BRISK,1612,12.5156,13.792
2,FAST,5202,BRISK,1572,12.6142,12.8249
3,FAST,5090,BRISK,1533,14.091,12.84
4,FAST,5118,BRISK,1450,16.6894,12.803
5,FAST,5180,BRISK,1594,15.9082,14.9186
6,FAST,5192,BRISK,1536,12.6787,13.6907
7,FAST,5177,BRISK,1372,11.9844,13.4054
8,FAST,5176,BRISK,1526,13.1241,12.2185
9,FAST,5225,BRISK,1456,13.0241,12.7138
10,FAST,5331,BRISK,1472,11.1746,13.0576
11,FAST,5351,BRISK,1506,12.8086,11.7186
12,FAST,5244,BRISK,1507,8.95978,12.9625
13,FAST,5231,BRISK,1492,9.96439,12.3379
14,FAST,5286,BRISK,1541,9.59863,12.1383
15,FAST,5464,BRISK,1646,8.57352,11.2679
16,FAST,5464,BRISK,1723,9.51617,11.84
17,FAST,5563,BRISK,1841,9.54658,10.3071
18,FAST,5497,BRISK,1754,8.3988,11.4484
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,ORB,500,BRISK,,,
1,ORB,500,BRISK,263,12.5156,19.4626
2,ORB,500,BRISK,241,12.6142,15.1978
3,ORB,500,BRISK,273,14.091,12.6207
4,ORB,500,BRISK,254,16.6894,19.1755
5,ORB,500,BRISK,287,15.9082,-inf
6,ORB,500,BRISK,280,12.6787,10.9041
7,ORB,500,BRISK,287,11.9844,13.0662
8,ORB,500,BRISK,281,13.1241,8.48386
9,ORB,500,BRISK,276,13.0241,13.1669
10,ORB,500,BRISK,268,11.1746,13.4335
11,ORB,500,BRISK,275,12.8086,7.86152
12,ORB,500,BRISK,274,8.95978,51.3351
13,ORB,500,BRISK,282,9.96439,9.91242
14,ORB,500,BRISK,267,9.59863,13.4923
15,ORB,500,BRISK,287,8.57352,8.73093
16,ORB,500,BRISK,276,9.51617,11.86
17,ORB,500,BRISK,277,9.54658,18.7607
18,ORB,500,BRISK,302,8.3988,24.1067
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,AKAZE,1513,BRISK,,,
1,AKAZE,1541,BRISK,786,12.5156,13.2988
2,AKAZE,1529,BRISK,776,12.6142,14.3685
3,AKAZE,1561,BRISK,781,14.091,14.116
4,AKAZE,1545,BRISK,787,16.6894,15.9494
5,AKAZE,1526,BRISK,787,15.9082,14.5816
6,AKAZE,1566,BRISK,821,12.6787,15.4479
7,AKAZE,1529,BRISK,823,11.9844,16.5679
8,AKAZE,1547,BRISK,812,13.1241,13.7556
9,AKAZE,1572,BRISK,811,13.0241,15.266
10,AKAZE,1567,BRISK,805,11.1746,11.8179
11,AKAZE,1538,BRISK,826,12.8086,12.854
12,AKAZE,1513,BRISK,813,8.95978,11.0527
13,AKAZE,1538,BRISK,824,9.96439,10.3162
14,AKAZE,1555,BRISK,862,9.59863,9.85968
15,AKAZE,1544,BRISK,878,8.57352,9.48155
16,AKAZE,1563,BRISK,857,9.51617,10.6294
17,AKAZE,1561,BRISK,909,9.54658,9.49464
18,AKAZE,1569,BRISK,909,8.3988,9.27904
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,SIFT,1891,BRISK,,,
1,SIFT,1915,BRISK,636,12.5156,12.0375
2,SIFT,1825,BRISK,642,12.6142,13.8497
3,SIFT,1837,BRISK,654,14.091,14.5497
4,SIFT,1828,BRISK,612,16.6894,22.3019
5,SIFT,1877,BRISK,645,15.9082,16.1396
6,SIFT,1931,BRISK,620,12.6787,11.1508
7,SIFT,1963,BRISK,638,11.9844,15.9297
8,SIFT,1954,BRISK,628,13.1241,15.2892
9,SIFT,1983,BRISK,609,13.0241,13.5525
10,SIFT,2041,BRISK,650,11.1746,11.5319
11,SIFT,2063,BRISK,628,12.8086,12.8143
12,SIFT,2007,BRISK,626,8.95978,10.4998
13,SIFT,2032,BRISK,626,9.96439,10.0761
14,SIFT,2048,BRISK,699,9.59863,10.9391
15,SIFT,2044,BRISK,704,8.57352,9.53826
16,SIFT,2086,BRISK,725,9.51617,9.0902
17,SIFT,2095,BRISK,740,9.54658,9.4597
18,SIFT,2159,BRISK,713,8.3988,9.52616
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,BRISK,2896,ORB,,,
1,BRISK,3000,ORB,835,12.5156,22.5037
2,BRISK,2974,ORB,810,12.6142,22.8112
3,BRISK,2953,ORB,838,14.091,19.5193
4,BRISK,2855,ORB,812,16.6894,16.5277
5,BRISK,2906,ORB,859,15.9082,31.969
6,BRISK,2886,ORB,803,12.6787,38.2605
7,BRISK,2886,ORB,777,11.9844,14.8965
8,BRISK,2893,ORB,770,13.1241,15.3036
9,BRISK,2930,ORB,761,13.0241,16.641
10,BRISK,3022,ORB,775,11.1746,12.2923
11,BRISK,3013,ORB,808,12.8086,14.2976
12,BRISK,2949,ORB,819,8.95978,13.2953
13,BRISK,3012,ORB,796,9.96439,10.2083
14,BRISK,3026,ORB,819,9.59863,11.3481
15,BRISK,3074,ORB,804,8.57352,14.2198
16,BRISK,3131,ORB,822,9.51617,14.7862
17,BRISK,3135,ORB,885,9.54658,8.29523
18,BRISK,3146,ORB,886,8.3988,12.6639
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,SHITOMASI,1723,ORB,,,
1,SHITOMASI,1759,ORB,692,12.5156,15.196
2,SHITOMASI,1820,ORB,740,12.6142,12.4397
3,SHITOMASI,1850,ORB,750,14.091,13.1082
4,SHITOMASI,1828,ORB,712,16.6894,12.561
5,SHITOMASI,1806,ORB,729,15.9082,13.8007
6,SHITOMASI,1877,ORB,723,12.6787,13.5266
7,SHITOMASI,1894,ORB,724,11.9844,12.9
8,SHITOMASI,1889,ORB,769,13.1241,13.0449
9,SHITOMASI,1917,ORB,745,13.0241,11.4559
10,SHITOMASI,1874,ORB,701,11.1746,13.9931
11,SHITOMASI,1912,ORB,756,12.8086,10.7136
12,SHITOMASI,1930,ORB,768,8.95978,12.7303
13,SHITOMASI,1880,ORB,745,9.96439,13.1295
14,SHITOMASI,1886,ORB,771,9.59863,11.8009
15,SHITOMASI,1957,ORB,777,8.57352,10.5864
16,SHITOMASI,1888,ORB,772,9.51617,12.8765
17,SHITOMASI,1919,ORB,777,9.54658,9.21193
18,SHITOMASI,2055,ORB,832,8.3988,8.29931
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,HARRIS,115,ORB,,,
1,HARRIS,209,ORB,75,12.5156,10.9082
2,HARRIS,114,ORB,75,12.6142,11.0081
3,HARRIS,178,ORB,72,14.091,-11.4731
4,HARRIS,250,ORB,94,16.6894,11.7693
5,HARRIS,241,ORB,130,15.9082,34.1473
6,HARRIS,259,ORB,124,12.6787,12.9945
7,HARRIS,272,ORB,134,11.9844,13.712
8,HARRIS,193,ORB,123,13.1241,13.5704
9,HARRIS,129,ORB,89,13.0241,3.97517
10,HARRIS,248,ORB,73,11.1746,nan
11,HARRIS,147,ORB,105,12.8086,11.2142
12,HARRIS,168,ORB,89,8.95978,11.1055
13,HARRIS,181,ORB,91,9.96439,13.4095
14,HARRIS,144,ORB,92,9.59863,5.66097
15,HARRIS,243,ORB,82,8.57352,-12.639
16,HARRIS,213,ORB,117,9.51617,6.45749
17,HARRIS,126,ORB,85,9.54658,12.5848
18,HARRIS,158,ORB,81,8.3988,-inf
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,FAST,5275,ORB,,,
1,FAST,5291,ORB,1856,12.5156,12.8125
2,FAST,5202,ORB,1854,12.6142,12.565
3,FAST,5090,ORB,1845,14.091,19.2831
4,FAST,5118,ORB,1793,16.6894,12.2073
5,FAST,5180,ORB,1850,15.9082,16.2731
6,FAST,5192,ORB,1864,12.6787,13.0766
7,FAST,5177,ORB,1742,11.9844,12.1907
8,FAST,5176,ORB,1846,13.1241,12.4368
9,FAST,5225,ORB,1790,13.0241,13.3933
10,FAST,5331,ORB,1791,11.1746,14.0994
11,FAST,5351,ORB,1832,12.8086,12.3002
